S/N		Words               		Frequency
7821		drug-damn'd         		1
7822		drugg'd             		1
7823		drugs               		11
7824		drum                		110
7825		drum's              		1
7826		drumble             		1
7827		drummer             		1
7828		drumming            		1
7829		drums               		41
7830		drunk               		68
7831		drunk'st            		1
7832		drunkard            		12
7833		drunkard's          		1
7834		drunkards           		6
7835		drunken             		19
7836		drunkenly           		2
7837		drunkenness         		3
7838		drunkenness'        		1
7839		dry                 		65
7840		dry-beat            		2
7841		dry-beaten          		1
7842		dry-foot            		1
7843		dryness             		1
7844		du                  		3
7845		dub                 		3
7846		dubb'd              		4
7847		ducat               		6
7848		ducats              		53
7849		ducdame             		3
7850		ducdame'            		1
7851		duchess             		139
7852		duchess'            		2
7853		duchies             		1
7854		duchy               		2
7855		duck                		10
7856		ducks               		3
7857		dudgeon             		1
7858		due                 		76
7859		duellist            		2
7860		duello              		2
7861		duer                		1
7862		dues                		6
7863		duff                		1
7864		dug                 		6
7865		dugs                		3
7866		duke                		1071
7867		duke's              		56
7868		dukedom             		24
7869		dukedoms            		8
7870		dukes               		24
7871		dulcet              		6
7872		dulche              		1
7873		dull                		110
7874		dull'd              		1
7875		dull-brain'd        		1
7876		dull-ey'd           		1
7877		dullard             		2
7878		duller              		5
7879		dullest             		3
7880		dulling             		2
7881		dullness            		4
7882		dulls               		1
7883		dully               		3
7884		dulness             		2
7885		duly                		8
7886		dumain              		76
7887		dumb                		40
7888		dumb'd              		1
7889		dumb-discoursive    		1
7890		dumb-show           		1
7891		dumbe               		1
7892		dumbly              		2
7893		dumbness            		5
7894		dump                		3
7895		dumps               		4
7896		dun                 		4
7897		dun's               		1
7898		duncan              		37
7899		duncan's            		3
7900		dungeon             		8
7901		dungeons            		2
7902		dunghill            		9
7903		dunghill'           		1
7904		dunghills           		2
7905		dungy               		2
7906		dunnest             		1
7907		dunsinane           		15
7908		dunsmore            		1
7909		dunstable           		1
7910		dupp'd              		1
7911		durance             		7
7912		during              		17
7913		durst               		51
7914		dusky               		6
7915		dust                		59
7916		dusty               		2
7917		dutch               		3
7918		dutchman            		4
7919		dutchman's          		1
7920		duteous             		11
7921		duties              		20
7922		dutiful             		2
7923		duty                		151
7924		duty's              		1
7925		dwarf               		4
7926		dwarfish            		5
7927		dwell               		39
7928		dwell'st            		2
7929		dwellers            		1
7930		dwelling            		10
7931		dwelling-house      		1
7932		dwelling-place      		1
7933		dwelling-places     		1
7934		dwells              		17
7935		dwelt               		2
7936		dwindle             		2
7937		dy'd                		3
7938		dye                 		5
7939		dyed                		3
7940		dyer's              		1
7941		dying               		46
7942		e                   		26
7943		e'en                		35
7944		e'er                		79
7945		e'il                		1
7946		e-mail              		1
7947		each                		240
7948		eager               		9
7949		eagerly             		3
7950		eagerness           		1
7951		eagle               		22
7952		eagle's             		3
7953		eagle-sighted       		1
7954		eagle-winged        		1
7955		eagles              		8
7956		eagles'             		1
7957		eaning              		1
7958		eanlings            		1
7959		ear                 		190
7960		ear'                		1
7961		ear-deaf'ning       		1
7962		ear-kissing         		1
7963		ear-piercing        		1
7964		ear-wax             		1
7965		earing              		1
7966		earl                		153
7967		earl's              		2
7968		earldom             		5
7969		earlier             		1
7970		earliest            		3
7971		earliness           		1
7972		earls               		11
7973		early               		50
7974		earn                		8
7975		earn'd              		5
7976		earned              		2
7977		earnest             		37
7978		earnest-gaping      		1
7979		earnestly           		9
7980		earnestness         		4
7981		earns               		1
7982		ears                		156
7983		ears-for            		1
7984		earth               		300
7985		earth'd             		1
7986		earth's             		12
7987		earth-bound         		1
7988		earth-treading      		1
7989		earth-vexing        		1
7990		earth-why           		1
7991		earthen             		1
7992		earthlier           		1
7993		earthly             		32
7994		earthquake          		6
7995		earthquakes         		1
7996		earthy              		5
7997		earthy-gross        		1
7998		eas'd               		2
7999		eas'ly              		2
8000		ease                		52
8001		ease'               		2
8002		eased               		2
8003		easeful             		1
8004		eases               		1
8005		easier              		9
8006		easiest             		1
8007		easiliest           		1
8008		easily              		29
8009		easiness            		3
8010		easing              		2
8011		east                		39
8012		eastcheap           		15
8013		easter              		1
8014		eastern             		6
8015		eastward            		1
8016		easy                		63
8017		easy-borrowed       		1
8018		easy-held           		1
8019		easy-melting        		1
8020		eat                 		142
8021		eat's               		1
8022		eaten               		19
8023		eater               		2
8024		eating              		13
8025		eats                		20
8026		eaux                		1
8027		eaves               		2
8028		eaves-dropper       		1
8029		ebb                 		15
8030		ebb'd               		2
8031		ebbing              		2
8032		ebbs                		3
8033		ebcdic              		1
8034		ebon                		1
8035		ebon-coloured       		1
8036		ebony               		3
8037		ebook               		16
8038		ebook's             		1
8039		ebooks              		13
8040		ebrew               		1
8041		ecce                		1
8042		echo                		10
8043		echoes              		2
8044		eclips'd            		2
8045		eclipse             		5
8046		eclipses            		5
8047		ecolier             		1
8048		ecoutez             		3
8049		ecstacy             		1
8050		ecstasies           		1
8051		ecstasy             		13
8052		ecus                		2
8053		eden                		1
8054		edg                 		98
8055		edgar               		37
8056		edge                		41
8057		edge-it's           		1
8058		edged               		2
8059		edgeless            		2
8060		edges               		3
8061		edict               		7
8062		edicts              		2
8063		edifice             		2
8064		edifices            		1
8065		edified             		3
8066		edifies             		1
8067		edition             		2
8068		editions            		5
8069		edm                 		79
8070		edmund              		71
8071		edmund's            		1
8072		edmunds             		2
8073		edmundsbury         		3
8074		edu                 		3
8075		educate             		1
8076		education           		9
8077		educational         		1
8078		edward              		318
8079		edward'             		1
8080		edward's            		54
8081		eel                 		4
8082		eel-skin            		1
8083		eel-skins           		1
8084		eels                		1
8085		effect              		72
8086		effected            		9
8087		effectless          		1
8088		effects             		27
8089		effectual           		4
8090		effectually         		2
8091		effeminate          		7
8092		effigies            		1
8093		effort              		2
8094		efforts             		3
8095		effus'd             		1
8096		effuse              		1
8097		effusion            		4
8098		eftest              		1
8099		egal                		1
8100		egally              		1
8101		eget                		1
8102		egeus               		17
8103		egg                 		15
8104		egg-shells          		1
8105		eggs                		7
8106		eggshell            		1
8107		eglamour            		22
8108		eglantine           		2
8109		egma                		1
8110		ego                 		1
8111		egregious           		4
8112		egregiously         		1
8113		egress              		1
8114		egypt               		46
8115		egypt's             		3
8116		egyptian            		14
8117		egyptians           		3
8118		eie                 		1
8119		eight               		36
8120		eight-which         		1
8121		eight-year-old      		1
8122		eighteen            		6
8123		eighth              		6
8124		eightpenny          		1
8125		eighty              		1
8126		ein                 		1
8127		eisel               		1
8128		either              		167
8129		either's            		6
8130		eject               		1
8131		eke                 		10
8132		el                  		1
8133		elbe                		2
8134		elbow               		49
8135		elbow's             		2
8136		elbow-room          		1
8137		elbows              		3
8138		eld                 		3
8139		eld'st              		1
8140		elder               		40
8141		elder-gun           		1
8142		elder-tree          		2
8143		elders              		4
8144		eldest              		26
8145		eldest-born         		1
8146		eleanor             		12
8147		eleanor's           		2
8148		elect               		5
8149		elected             		5
8150		election            		21
8151		electronic          		469
8152		electronically      		4
8153		elegancy            		1
8154		elegies             		2
8155		element             		10
8156		element'            		1
8157		element's           		1
8158		elements            		23
8159		elephant            		5
8160		elephant-a          		1
8161		elephants           		1
8162		elevated            		1
8163		eleven              		21
8164		eleventh            		2
8165		elf                 		2
8166		elf-skin            		1
8167		elflocks            		1
8168		eliads              		1
8169		elinor              		28
8170		elizabeth           		119
8171		ell                 		3
8172		elle                		1
8173		ellen               		1
8174		elm                 		3
8175		eloquence           		11
8176		eloquent            		4
8177		else                		417
8178		elsewhere           		10
8179		elsinore            		23
8180		eltham              		3
8181		elves               		8
8182		elvish-mark'd       		1
8183		ely                 		29
8184		elysium             		6
8185		em                  		167
8186		em'rald             		2
8187		em-by               		1
8188		email               		3
8189		emballing           		1
8190		embalm              		1
8191		embalms             		1
8192		embark              		2
8193		embark'd            		5
8194		embarked            		1
8195		embarquements       		1
8196		embassade           		1
8197		embassage           		6
8198		embassies           		2
8199		embassy             		14
8200		embattailed         		1
8201		embattl'd           		2
8202		embattle            		1
8203		embay'd             		1
8204		embellished         		1
8205		embers              		1
8206		emblaze             		1
8207		emblem              		1
8208		emblems             		1
8209		embodied            		1
8210		embold'ned          		1
8211		emboldens           		1
8212		emboss'd            		4
8213		embossed            		3
8214		embounded           		1
8215		embowel             		1
8216		embowell'd          		4
8217		embrac'd            		10
8218		embrace             		68
8219		embraced            		3
8220		embracement         		4
8221		embracements        		5
8222		embraces            		4
8223		embracing           		6
8224		embrasures          		1
8225		embroider'd         		1
8226		embroidery          		1
8227		emhracing           		1
8228		emilia              		149
8229		eminence            		6
8230		eminent             		5
8231		eminently           		1
8232		emmanuel            		1
8233		emnity              		2
8234		empale              		1
8235		emperal's           		1
8236		emperess            		8
8237		emperial            		1
8238		emperor             		91
8239		emperor's           		20
8240		emperor-caesar      		1
8241		empery              		6
8242		emphasis            		2
8243		empire              		17
8244		empirics            		1
8245		empiricutic         		1
8246		empleached          		1
8247		employ              		22
8248		employ'd            		26
8249		employed            		1
8250		employee            		1
8251		employees           		2
8252		employer            		1
8253		employment          		21
8254		employments         		2
8255		empoison            		1
8256		empoison'd          		1
8257		empress             		30
8258		empress'            		15
8259		emptied             		2
8260		emptier             		2
8261		empties             		2
8262		emptiness           		3
8263		empty               		50
8264		empty-hearted       		1
8265		emptying            		3
8266		emulate             		2
8267		emulation           		10
8268		emulations          		1
8269		emulator            		1
8270		emulous             		4
8271		en                  		7
8272		enact               		3
8273		enacted             		4
8274		enacts              		2
8275		enactures           		1
8276		enamell'd           		2
8277		enamelled           		1
8278		enamour'd           		3
8279		enamoured           		2
8280		enanmour'd          		1
8281		encamp              		3
8282		encamp'd            		2
8283		encamped            		1
8284		encave              		1
8285		enceladus           		1
8286		enchaf'd            		1
8287		enchafed            		1
8288		enchant             		4
8289		enchanted           		5
8290		enchanting          		6
8291		enchantingly        		1
8292		enchantment         		2
8293		enchantress         		1
8294		enchants            		2
8295		enchas'd            		1
8296		encircle            		1
8297		encircled           		1
8298		enclos'd            		1
8299		enclose             		1
8300		enclosed            		5
8301		encloses            		1
8302		encloseth           		1
8303		enclosing           		1
8304		enclouded           		1
8305		encoding            		1
8306		encompass'd         		5
8307		encompassed         		1
8308		encompasseth        		1
8309		encompassment       		1
8310		encore              		1
8311		encorporal          		1
8312		encount'red         		15
8313		encount'ring        		2
8314		encounter           		52
8315		encounter'd         		1
8316		encountered         		1
8317		encounters          		7
8318		encourage           		4
8319		encouraged          		3
8320		encouragement       		2
8321		encrimsoned         		1
8322		encroaching         		1
8323		encumb'red          		1
8324		end                 		346
8325		end-all             		1
8326		endamage            		2
8327		endamagement        		1
8328		endanger            		2
8329		endart              		1
8330		endear'd            		2
8331		endeared            		3
8332		endeavour           		16
8333		endeavour'd         		1
8334		endeavours          		9
8335		ended               		30
8336		ender               		1
8337		ending              		11
8338		endings             		2
8339		endite              		1
8340		endless             		8
8341		endow               		1
8342		endow'd             		3
8343		endowed             		2
8344		endowments          		2
8345		endows              		1
8346		ends                		49
8347		endu'd              		1
8348		endue               		2
8349		endur'd             		13
8350		endur'st            		1
8351		endurance           		1
8352		endure              		76
8353		endured             		3
8354		endures             		1
8355		enduring            		1
8356		endymion            		1
8357		eneas               		1
8358		enemies             		101
8359		enemies'            		10
8360		enemy               		156
8361		enemy'              		1
8362		enemy's             		9
8363		enernies            		1
8364		enew                		1
8365		enfeebled           		3
8366		enfeebles           		1
8367		enfeoff'd           		1
8368		enfetter'd          		1
8369		enfoldings          		1
8370		enforc'd            		15
8371		enforce             		34
8372		enforced            		14
8373		enforcedly          		1
8374		enforcement         		6
8375		enforces            		2
8376		enforcest           		1
8377		enfranched          		1
8378		enfranchis'd        		4
8379		enfranchise         		4
8380		enfranchised        		1
8381		enfranchisement     		6
8382		enfreed             		1
8383		enfreedoming        		1
8384		engag'd             		14
8385		engage              		5
8386		engaged             		4
8387		engagements         		1
8388		engaging            		1
8389		engaol'd            		1
8390		engend'red          		2
8391		engend'ring         		1
8392		engender            		1
8393		engender'd          		2
8394		engenders           		6
8395		engilds             		1
8396		engine              		8
8397		engineer            		1
8398		enginer             		1
8399		engines             		4
8400		engirt              		2
8401		england             		266
8402		england's           		64
8403		english             		165
8404		english'd           		1
8405		english-woman       		1
8406		englishman          		9
8407		englishman's        		1
8408		englishmen          		6
8409		engluts             		1
8410		englutted           		2
8411		engraffed           		1
8412		engraft             		1
8413		engrafted           		1
8414		engrav'd            		2
8415		engrave             		1
8416		engross             		2
8417		engross'd           		2
8418		engrossed           		2
8419		engrossest          		1
8420		engrossing          		1
8421		engrossments        		1
8422		enguard             		1
8423		enigma              		2
8424		enigmatical         		1
8425		enjoin              		2
8426		enjoin'd            		7
8427		enjoined            		1
8428		enjoy               		47
8429		enjoy'd             		7
8430		enjoyed             		4
8431		enjoyer             		1
8432		enjoying            		5
8433		enjoys              		7
8434		enkindle            		2
8435		enkindled           		3
8436		enlard              		1
8437		enlarg'd            		1
8438		enlarge             		8
8439		enlarged            		2
8440		enlargement         		5
8441		enlargeth           		1
8442		enlighten           		1
8443		enlink'd            		1
8444		enmesh              		1
8445		enmities            		1
8446		enmity              		18
8447		enmity's            		1
8448		ennoble             		1
8449		ennobled            		1
8450		enobarb             		1
8451		enobarbus           		154
8452		enon                		1
8453		enormity            		1
8454		enormous            		1
8455		enough              		311
8456		enough-of           		1
8457		enough-will         		1
8458		enow                		10
8459		enpatron            		1
8460		enpierced           		1
8461		enquir'd            		1
8462		enquire             		8
8463		enquired            		2
8464		enrag'd             		11
8465		enrage              		2
8466		enraged             		3
8467		enrages             		1
8468		enrank              		1
8469		enrapt              		1
8470		enrich              		9
8471		enrich'd            		9
8472		enriched            		2
8473		enriches            		1
8474		enridged            		1
8475		enrings             		1
8476		enrob'd             		1
8477		enrobe              		1
8478		enroll'd            		2
8479		enrolled            		6
8480		enrooted            		1
8481		enrounded           		1
8482		enschedul'd         		1
8483		ensconce            		3
8484		ensconcing          		1
8485		enseamed            		1
8486		ensear              		1
8487		enseigne            		1
8488		ensemble            		1
8489		enshelter'd         		1
8490		enshielded          		1
8491		enshrines           		1
8492		ensign              		6
8493		ensigns             		2
8494		enskied             		1
8495		ensman              		1
8496		ensnare             		1
8497		ensnared            		1
8498		ensnareth           		1
8499		ensteep'd           		1
8500		ensu'd              		1
8501		ensue               		13
8502		ensued              		1
8503		ensues              		4
8504		ensuing             		9
8505		ensuring            		1
8506		enswathed           		1
8507		ent'red             		21
8508		ent'ring            		5
8509		entail              		3
8510		entame              		1
8511		entangled           		2
8512		entangles           		1
8513		entendre            		1
8514		enter               		2099
8515		enter'd             		7
8516		entered             		2
8517		entering            		2
8518		enterprise          		31
8519		enterprises         		3
8520		enters              		16
8521		entertain           		39
8522		entertain'd         		14
8523		entertain'st        		2
8524		entertained         		3
8525		entertainer         		1
8526		entertaining        		1
8527		entertainment       		37
8528		entertainments      		1
8529		enthrall'd          		3
8530		enthralled          		2
8531		enthron'd           		3
8532		enthroned           		2
8533		entice              		2
8534		enticements         		1
8535		enticing            		2
8536		entire              		8
8537		entirely            		9
8538		entitle             		3
8539		entitled            		1
8540		entitling           		1
8541		entity              		3
8542		entomb              		2
8543		entomb'd            		2
8544		entombed            		1
8545		entrails            		11
8546		entrance            		19
8547		entrances           		1
8548		entrap              		4
8549		entrapp'd           		1
8550		entre               		1
8551		entreat             		111
8552		entreated           		12
8553		entreaties          		11
8554		entreating          		1
8555		entreatments        		1
8556		entreats            		11
8557		entreaty            		12
8558		entrench'd          		1
8559		entry               		1
8560		entwist             		1
8561		envelop             		1
8562		envenom             		2
8563		envenom'd           		2
8564		envenomed           		2
8565		envenoms            		1
8566		envied              		4
8567		envies              		1
8568		envious             		35
8569		enviously           		1
8570		environ             		3
8571		environ'd           		3
8572		environed           		3
8573		envy                		51
8574		envy's              		3
8575		envying             		2
8576		enwheel             		1
8577		enwombed            		1
8578		enwraps             		1
8579		ephesian            		1
8580		ephesians           		1
8581		ephesus             		166
8582		ephesus-he          		1
8583		epicure             		1
8584		epicurean           		2
8585		epicures            		1
8586		epicurism           		1
8587		epicurus            		1
8588		epidamnum           		7
8589		epidaurus           		1
8590		epigram             		1
8591		epilepsy            		1
8592		epileptic           		1
8593		epilogue            		20
8594		epilogues           		1
8595		epistles            		2
8596		epistrophus         		1
8597		epitaph             		14
8598		epitaphs            		2
8599		epithet             		3
8600		epitheton           		1
8601		epithets            		2
8602		epitome             		1
8603		equal               		44
8604		equalities          		1
8605		equality            		2
8606		equall'd            		2
8607		equally             		8
8608		equalness           		1
8609		equals              		4
8610		equinoctial         		1
8611		equinox             		1
8612		equipage            		2
8613		equipment           		4
8614		equity              		4
8615		equivalent          		1
8616		equivocal           		2
8617		equivocate          		1
8618		equivocates         		1
8619		equivocation        		2
8620		equivocator         		3
8621		ercles              		1
8622		ercles'             		1
8623		ere                 		359
8624		ere't               		5
8625		erebus              		3
8626		erect               		4
8627		erected             		2
8628		erecting            		1
8629		erection            		3
8630		erects              		1
8631		erewhile            		4
8632		erga                		1
8633		ergo                		7
8634		eringoes            		1
8635		ermengare           		1
8636		ern'd               		1
8637		eros                		64
8638		erpingham           		12
8639		err                 		14
8640		err'd               		2
8641		errand              		18
8642		errands             		2
8643		errant              		1
8644		erred               		1
8645		errest              		1
8646		erring              		5
8647		erroneous           		2
8648		error               		31
8649		errors              		15
8650		errs                		3
8651		erst                		6
8652		erudition           		1
8653		eruption            		1
8654		eruptions           		3
8655		escalus             		98
8656		escap'd             		6
8657		escap'dst           		1
8658		escape              		20
8659		escaped             		2
8660		escapes             		5
8661		eschew'd            		1
8662		escoted             		1
8663		esill               		1
8664		especial            		3
8665		especially          		19
8666		esperance           		4
8667		espials             		3
8668		espied              		3
8669		espies              		2
8670		espous'd            		3
8671		espouse             		4
8672		espy                		3
8673		esquire             		7
8674		esquires            		2
8675		essay               		1
8676		essays              		1
8677		essence             		3
8678		essential           		1
8679		essentially         		3
8680		esses               		2
8681		essex               		4
8682		est                 		17
8683		est'                		1
8684		est-il              		1
8685		establish           		5
8686		establish'd         		3
8687		established         		4
8688		estate              		48
8689		estate-i            		1
8690		estates             		8
8691		esteem              		28
8692		esteem'd            		8
8693		esteem'st           		2
8694		esteemed            		7
8695		esteemeth           		1
8696		esteeming           		1
8697		esteems             		5
8698		estimable           		2
8699		estimate            		6
8700		estimation          		21
8701		estimations         		1
8702		estranged           		2
8703		estridge            		1
8704		estridges           		1
8705		et                  		33
8706		etc                 		18
8707		etceteras           		1
8708		ete                 		1
8709		eternal             		38
8710		eternal's           		1
8711		eternally           		1
8712		eterne              		2
8713		eternity            		10
8714		eterniz'd           		1
8715		etes                		2
8716		etes-vous           		1
8717		etext               		245
8718		etexts              		3
8719		ethiop's            		1
8720		ethiope             		5
8721		ethiopes            		1
8722		ethiopian           		1
8723		ethiopian's         		1
8724		etna                		1
8725		eton                		4
8726		etre                		1
8727		eunuch              		14
8728		eunuchs             		2
8729		euphrates           		1
8730		euphronius          		11
8731		euriphile           		4
8732		europa              		3
8733		europe              		10
8734		ev'd                		1
8735		ev'n                		19
8736		ev'ry               		7
8737		ev'rything          		1
8738		evade               		1
8739		evades              		1
8740		evans               		107
8741		evasion             		4
8742		evasions            		1
8743		eve                 		9
8744		eve's               		4
8745		even                		570
8746		even'd              		1
8747		even-christen       		1
8748		even-handed         		1
8749		even-pleach'd       		1
8750		evening             		19
8751		evenly              		3
8752		event               		26
8753		eventful            		1
8754		events              		13
8755		ever                		594
8756		ever'               		1
8757		ever-angry          		1
8758		ever-burning        		2
8759		ever-esteemed       		1
8760		ever-fixed          		2
8761		ever-gentle         		1
8762		ever-happy          		1
8763		ever-living         		1
8764		ever-pardon         		1
8765		ever-preserved      		1
8766		ever-running        		1
8767		ever-valiant        		1
8768		everlasting         		21
8769		everlastingly       		4
8770		evermore            		25
8771		every               		491
8772		everyone            		5
8773		everything          		42
8774		everywhere          		16
8775		evidence            		10
8776		evidences           		1
8777		evident             		7
8778		evil                		62
8779		evil-ey'd           		1
8780		evilly              		2
8781		evils               		25
8782		evitate             		1
8783		ewe                 		4
8784		ewer                		3
8785		ewers               		1
8786		ewes                		10
8787		exact               		9
8788		exacted             		1
8789		exactest            		1
8790		exacting            		1
8791		exaction            		3
8792		exactions           		3
8793		exactly             		6
8794		exacts              		1
8795		exalt               		1
8796		exalted             		3
8797		examin'd            		2
8798		examination         		5
8799		examinations        		1
8800		examine             		12
8801		examined            		3
8802		examines            		1
8803		exampl'd            		1
8804		example             		32
8805		exampled            		2
8806		examples            		7
8807		exasperate          		3
8808		exasperates         		1
8809		exceed              		14
8810		exceeded            		3
8811		exceedeth           		1
8812		exceeding           		27
8813		exceedingly         		5
8814		exceeds             		10
8815		excel               		6
8816		excelled            		1
8817		excellence          		20
8818		excellencies        		1
8819		excellency          		3
8820		excellent           		119
8821		excellently         		6
8822		excelling           		2
8823		excels              		7
8824		except              		41
8825		excepted            		6
8826		excepting           		4
8827		exception           		5
8828		exceptions          		6
8829		exceptless          		1
8830		excess              		14
8831		excessive           		1
8832		exchang'd           		2
8833		exchange            		33
8834		exchanged           		1
8835		exchequer           		7
8836		exchequers          		1
8837		excite              		2
8838		excited             		1
8839		excitements         		2
8840		excites             		1
8841		exclaim             		10
8842		exclaim'd           		2
8843		exclaims            		6
8844		exclamation         		4
8845		exclamations        		1
8846		excludes            		1
8847		exclusion           		2
8848		exclusions          		1
8849		excommunicate       		2
8850		excommunication     		1
8851		excrement           		5
8852		excrements          		1
8853		excursion           		1
8854		excursions          		21
8855		excus'd             		10
8856		excusable           		1
8857		excuse              		77
8858		excuse'             		1
8859		excused             		2
8860		excuses             		4
8861		excusez-moi         		2
8862		excusing            		2
8863		execrable           		1
8864		execrations         		2
8865		execute             		21
8866		executed            		19
8867		executing           		2
8868		execution           		48
8869		executioner         		15
8870		executioners        		6
8871		executive           		1
8872		executor            		2
8873		executors           		3
8874		exempt              		11
8875		exempted            		1
8876		exequies            		1
8877		exercise            		18
8878		exercises           		5
8879		exeter              		98
8880		exeunt              		1035
8881		exhal'd             		1
8882		exhal'st            		1
8883		exhalation          		2
8884		exhalations         		2
8885		exhale              		2
8886		exhales             		2
8887		exhaust             		1
8888		exhibit             		4
8889		exhibiters          		1
8890		exhibition          		6
8891		exhort              		2
8892		exhortation         		1
8893		exigent             		3
8894		exil'd              		6
8895		exile               		25
8896		exiled              		1
8897		exion               		1
8898		exist               		2
8899		exists              		2
8900		exit                		984
8901		exits               		1
8902		exorciser           		1
8903		exorcisms           		1
8904		exorcist            		2
8905		expect              		31
8906		expectance          		1
8907		expectancy          		2
8908		expectation         		24
8909		expectations        		1
8910		expected            		10
8911		expecters           		1
8912		expecting           		5
8913		expects             		4
8914		expedience          		4
8915		expedient           		8
8916		expediently         		1
8917		expedition          		24
8918		expedition's        		1
8919		expeditious         		1
8920		expel               		5
8921		expell'd            		1
8922		expels              		1
8923		expend              		4
8924		expense             		20
8925		expenses            		5
8926		experienc'd         		3
8927		experience          		20
8928		experiences         		1
8929		experiment          		2
8930		experimental        		1
8931		experiments         		2
8932		expert              		4
8933		expertness          		2
8934		expiate             		2
8935		expiation           		1
8936		expir'd             		2
8937		expiration          		3
8938		expire              		6
8939		expired             		1
8940		expires             		1
8941		expiring            		1
8942		explanation         		2
8943		explanatory         		1
8944		explication         		1
8945		exploit             		16
8946		exploit's           		1
8947		exploits            		6
8948		exporting           		1
8949		expos'd             		6
8950		expose              		5
8951		exposing            		2
8952		exposition          		4
8953		expositor           		1
8954		expostulate         		5
8955		expostulation       		1
8956		exposture           		1
8957		exposure            		2
8958		expound             		4
8959		expounded           		1
8960		express             		37
8961		express'd           		11
8962		expressed           		4
8963		expresseth          		1
8964		expressing          		3
8965		expressive          		1
8966		expressly           		10
8967		expressure          		3
8968		expuls'd            		1
8969		expulsion           		2
8970		exquisite           		12
8971		exsufflicate        		1
8972		extant              		5
8973		extemporal          		3
8974		extemporally        		1
8975		extempore           		5
8976		extend              		17
8977		extended            		5
8978		extends             		1
8979		extent              		6
8980		extenuate           		5
8981		extenuated          		1
8982		extenuates          		1
8983		extenuation         		1
8984		exterior            		4
8985		exteriorly          		1
8986		exteriors           		1
8987		extermin'd          		1
8988		extern              		2
8989		external            		7
8990		extinct             		2
8991		extincted           		1
8992		extincture          		1
8993		extinguish          		1
8994		extirp              		1
8995		extirpate           		1
8996		extirped            		1
8997		extol               		4
8998		extoll'd            		1
8999		extolment           		1
9000		exton               		14
9001		extort              		5
9002		extorted            		2
9003		extortion           		1
9004		extortions          		1
9005		extra-ordinary      		1
9006		extract             		1
9007		extracted           		1
9008		extracting          		2
9009		extraordinarily     		2
9010		extraordinary       		4
9011		extraught           		1
9012		extravagancy        		1
9013		extravagant         		3
9014		extreme             		16
9015		extremely           		5
9016		extremes            		14
9017		extremest           		10
9018		extremities         		5
9019		extremity           		27
9020		exuent              		1
9021		exult               		2
9022		exultation          		1
9023		ey'd                		3
9024		ey'st               		1
9025		eyas-musket         		1
9026		eyases              		1
9027		eye                 		418
9028		eye's               		5
9029		eye-balls           		2
9030		eye-bans            		1
9031		eye-beams           		1
9032		eye-drops           		1
9033		eye-glass           		1
9034		eye-offending       		2
9035		eye-sore            		1
9036		eye-wink            		1
9037		eyeball             		1
9038		eyeballs            		5
9039		eyebrow             		1
9040		eyebrows            		2
9041		eyed                		1
9042		eyeless             		6
9043		eyelid              		1
9044		eyelids             		13
9045		eyes                		682
9046		eyes'               		3
9047		eyesight            		7
9048		eyestrings          		1
9049		eyne                		9
9050		eyrie               		1
9051		f                   		11
9052		fa                  		5
9053		fabian              		74
9054		fable               		4
9055		fables              		2
9056		fabric              		4
9057		fabulous            		2
9058		fac'd               		9
9059		face                		416
9060		face's              		1
9061		face-royal          		2
9062		faced               		1
9063		facere              		1
9064		faces               		53
9065		faciant             		1
9066		facile              		1
9067		facility            		4
9068		facinerious         		1
9069		facing              		1
9070		facit               		2
9071		fact                		12
9072		faction             		22
9073		factionary          		1
9074		factions            		7
9075		factious            		10
9076		factor              		4
9077		factor's            		1
9078		factors             		1
9079		faculties           		7
9080		faculty             		2
9081		fade                		6
9082		faded               		4
9083		fadeth              		1
9084		fadge               		2
9085		fading              		6
9086		fadings             		1
9087		fadom               		3
9088		fadoms              		1
9089		fagot               		1
9090		fagots              		1
9091		fail                		60
9092		fail'd              		6
9093		fail'st             		1
9094		failing             		6
9095		fails               		10
9096		fain                		66
9097		faint               		43
9098		faint-hearted       		3
9099		fainted             		2
9100		fainter             		1
9101		fainting            		8
9102		faintly             		10
9103		faintness           		2
9104		faints              		7
9105		fair                		756
9106		fair'               		3
9107		fair'st             		2
9108		fair-fac'd          		3
9109		fair-judgment       		1
9110		fair-play           		1
9111		fair-spoken         		1
9112		fairbanks           		1
9113		fairer              		38
9114		fairest             		41
9115		fairest-boding      		1
9116		fairies             		38
9117		fairies'            		2
9118		fairing             		1
9119		fairings            		1
9120		fairly              		46
9121		fairness            		4
9122		fairs               		5
9123		fairwell            		1
9124		fairy               		57
9125		fairy-like          		1
9126		fais                		1
9127		fait                		1
9128		faites              		1
9129		faith               		400
9130		faith'd             		1
9131		faith-breach        		1
9132		faithful            		33
9133		faithfull'st        		1
9134		faithfully          		11
9135		faithless           		4
9136		faiths              		6
9137		faitors             		1
9138		fal                 		151
9139		falchion            		4
9140		falcon              		7
9141		falcon's            		3
9142		falconbridge        		5
9143		falconer's          		1
9144		falconers           		3
9145		fall                		299
9146		fall'n              		47
9147		fall'n-off          		1
9148		fall'st             		4
9149		fallacy             		1
9150		fallen              		3
9151		falleth             		1
9152		falliable           		1
9153		fallible            		1
9154		falling             		26
9155		falling-from        		1
9156		falling-off         		1
9157		fallow              		3
9158		fallows             		1
9159		falls               		81
9160		falorous            		1
9161		false               		289
9162		false-boding        		1
9163		false-derived       		1
9164		false-fac'd         		1
9165		false-heart         		1
